"Tegevusala..EMTAK.2008.","Maakond","Aasta","value"
"Tegevusalad kokku","Kogu Eesti","2000",46853
"Tegevusalad kokku","Harju maakond","2000",27043
"Tegevusalad kokku","..Tallinn","2000",23907
"Tegevusalad kokku","Hiiu maakond","2000",339
"Tegevusalad kokku","Ida-Viru maakond","2000",2920
"Tegevusalad kokku","Jõgeva maakond","2000",672
"Tegevusalad kokku","Järva maakond","2000",743
"Tegevusalad kokku","Lääne maakond","2000",739
"Tegevusalad kokku","Lääne-Viru maakond","2000",1666
"Tegevusalad kokku","Põlva maakond","2000",644
"Tegevusalad kokku","Pärnu maakond","2000",2771
"Tegevusalad kokku","Rapla maakond","2000",884
"Tegevusalad kokku","Saare maakond","2000",1014
"Tegevusalad kokku","Tartu maakond","2000",4688
"Tegevusalad kokku","Valga maakond","2000",740
"Tegevusalad kokku","Viljandi maakond","2000",1183
"Tegevusalad kokku","Võru maakond","2000",807
"Tegevusalad kokku","Kogu Eesti","2001",54016
"Tegevusalad kokku","Harju maakond","2001",26701
"Tegevusalad kokku","..Tallinn","2001",23060
"Tegevusalad kokku","Hiiu maakond","2001",545
"Tegevusalad kokku","Ida-Viru maakond","2001",3335
"Tegevusalad kokku","Jõgeva maakond","2001",1330
"Tegevusalad kokku","Järva maakond","2001",1257
"Tegevusalad kokku","Lääne maakond","2001",1104
"Tegevusalad kokku","Lääne-Viru maakond","2001",2623
"Tegevusalad kokku","Põlva maakond","2001",963
"Tegevusalad kokku","Pärnu maakond","2001",3634
"Tegevusalad kokku","Rapla maakond","2001",1352
"Tegevusalad kokku","Saare maakond","2001",1588
"Tegevusalad kokku","Tartu maakond","2001",5215
"Tegevusalad kokku","Valga maakond","2001",1128
"Tegevusalad kokku","Viljandi maakond","2001",2027
"Tegevusalad kokku","Võru maakond","2001",1214
"Tegevusalad kokku","Kogu Eesti","2002",57183
"Tegevusalad kokku","Harju maakond","2002",27689
"Tegevusalad kokku","..Tallinn","2002",23562
"Tegevusalad kokku","Hiiu maakond","2002",583
"Tegevusalad kokku","Ida-Viru maakond","2002",3509
"Tegevusalad kokku","Jõgeva maakond","2002",1571
"Tegevusalad kokku","Järva maakond","2002",1298
"Tegevusalad kokku","Lääne maakond","2002",1236
"Tegevusalad kokku","Lääne-Viru maakond","2002",2564
"Tegevusalad kokku","Põlva maakond","2002",1123
"Tegevusalad kokku","Pärnu maakond","2002",4057
"Tegevusalad kokku","Rapla maakond","2002",1497
"Tegevusalad kokku","Saare maakond","2002",1816
"Tegevusalad kokku","Tartu maakond","2002",5530
"Tegevusalad kokku","Valga maakond","2002",1199
"Tegevusalad kokku","Viljandi maakond","2002",2152
"Tegevusalad kokku","Võru maakond","2002",1359
"Tegevusalad kokku","Kogu Eesti","2003",56035
"Tegevusalad kokku","Harju maakond","2003",28529
"Tegevusalad kokku","..Tallinn","2003",24313
"Tegevusalad kokku","Hiiu maakond","2003",525
"Tegevusalad kokku","Ida-Viru maakond","2003",3372
"Tegevusalad kokku","Jõgeva maakond","2003",1353
"Tegevusalad kokku","Järva maakond","2003",1155
"Tegevusalad kokku","Lääne maakond","2003",1094
"Tegevusalad kokku","Lääne-Viru maakond","2003",2462
"Tegevusalad kokku","Põlva maakond","2003",1013
"Tegevusalad kokku","Pärnu maakond","2003",3863
"Tegevusalad kokku","Rapla maakond","2003",1349
"Tegevusalad kokku","Saare maakond","2003",1640
"Tegevusalad kokku","Tartu maakond","2003",5571
"Tegevusalad kokku","Valga maakond","2003",1056
"Tegevusalad kokku","Viljandi maakond","2003",1849
