"Vanuserühm","Maakond","Aasta","Sugu","value"
"Vanuserühmad kokku","Kogu Eesti","2000","Mehed ja naised",1401250
"Vanuserühmad kokku","Harju maakond","2000","Mehed ja naised",536470
"Vanuserühmad kokku","..Tallinn","2000","Mehed ja naised",402390
"Vanuserühmad kokku","Hiiu maakond","2000","Mehed ja naised",10000
"Vanuserühmad kokku","Ida-Viru maakond","2000","Mehed ja naised",183850
"Vanuserühmad kokku","Jõgeva maakond","2000","Mehed ja naised",38760
"Vanuserühmad kokku","Järva maakond*","2000","Mehed ja naised",38130
"Vanuserühmad kokku","Lääne maakond","2000","Mehed ja naised",29610
"Vanuserühmad kokku","Lääne-Viru maakond*","2000","Mehed ja naised",71580
"Vanuserühmad kokku","Põlva maakond","2000","Mehed ja naised",32250
"Vanuserühmad kokku","Pärnu maakond","2000","Mehed ja naised",93020
"Vanuserühmad kokku","Rapla maakond","2000","Mehed ja naised",38190
"Vanuserühmad kokku","Saare maakond","2000","Mehed ja naised",35850
"Vanuserühmad kokku","Tartu maakond","2000","Mehed ja naised",158070
"Vanuserühmad kokku","..Tartu linn","2000","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2000","Mehed ja naised",36070
"Vanuserühmad kokku","Viljandi maakond","2000","Mehed ja naised",59150
"Vanuserühmad kokku","Võru maakond","2000","Mehed ja naised",40250
"Vanuserühmad kokku","Maakond teadmata","2000","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2001","Mehed ja naised",1392720
"Vanuserühmad kokku","Harju maakond","2001","Mehed ja naised",533710
"Vanuserühmad kokku","..Tallinn","2001","Mehed ja naised",400090
"Vanuserühmad kokku","Hiiu maakond","2001","Mehed ja naised",9970
"Vanuserühmad kokku","Ida-Viru maakond","2001","Mehed ja naised",181510
"Vanuserühmad kokku","Jõgeva maakond","2001","Mehed ja naised",38410
"Vanuserühmad kokku","Järva maakond*","2001","Mehed ja naised",37910
"Vanuserühmad kokku","Lääne maakond","2001","Mehed ja naised",29180
"Vanuserühmad kokku","Lääne-Viru maakond*","2001","Mehed ja naised",71100
"Vanuserühmad kokku","Põlva maakond","2001","Mehed ja naised",32010
"Vanuserühmad kokku","Pärnu maakond","2001","Mehed ja naised",92520
"Vanuserühmad kokku","Rapla maakond","2001","Mehed ja naised",38110
"Vanuserühmad kokku","Saare maakond","2001","Mehed ja naised",35670
"Vanuserühmad kokku","Tartu maakond","2001","Mehed ja naised",158340
"Vanuserühmad kokku","..Tartu linn","2001","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2001","Mehed ja naised",35720
"Vanuserühmad kokku","Viljandi maakond","2001","Mehed ja naised",58670
"Vanuserühmad kokku","Võru maakond","2001","Mehed ja naised",39890
"Vanuserühmad kokku","Maakond teadmata","2001","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2002","Mehed ja naised",1383510
"Vanuserühmad kokku","Harju maakond","2002","Mehed ja naised",532800
"Vanuserühmad kokku","..Tallinn","2002","Mehed ja naised",396490
"Vanuserühmad kokku","Hiiu maakond","2002","Mehed ja naised",9960
"Vanuserühmad kokku","Ida-Viru maakond","2002","Mehed ja naised",178210
"Vanuserühmad kokku","Jõgeva maakond","2002","Mehed ja naised",38060
"Vanuserühmad kokku","Järva maakond*","2002","Mehed ja naised",37450
"Vanuserühmad kokku","Lääne maakond","2002","Mehed ja naised",28720
"Vanuserühmad kokku","Lääne-Viru maakond*","2002","Mehed ja naised",70510
"Vanuserühmad kokku","Põlva maakond","2002","Mehed ja naised",31640
"Vanuserühmad kokku","Pärnu maakond","2002","Mehed ja naised",91570
"Vanuserühmad kokku","Rapla maakond","2002","Mehed ja naised",38070
"Vanuserühmad kokku","Saare maakond","2002","Mehed ja naised",35420
"Vanuserühmad kokku","Tartu maakond","2002","Mehed ja naised",158470
"Vanuserühmad kokku","..Tartu linn","2002","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2002","Mehed ja naised",35260
"Vanuserühmad kokku","Viljandi maakond","2002","Mehed ja naised",57890
"Vanuserühmad kokku","Võru maakond","2002","Mehed ja naised",39480
"Vanuserühmad kokku","Maakond teadmata","2002","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2003","Mehed ja naised",1375190
"Vanuserühmad kokku","Harju maakond","2003","Mehed ja naised",533820
"Vanuserühmad kokku","..Tallinn","2003","Mehed ja naised",395050
"Vanuserühmad kokku","Hiiu maakond","2003","Mehed ja naised",9830
"Vanuserühmad kokku","Ida-Viru maakond","2003","Mehed ja naised",175020
"Vanuserühmad kokku","Jõgeva maakond","2003","Mehed ja naised",37560
"Vanuserühmad kokku","Järva maakond*","2003","Mehed ja naised",36940
"Vanuserühmad kokku","Lääne maakond","2003","Mehed ja naised",28250
"Vanuserühmad kokku","Lääne-Viru maakond*","2003","Mehed ja naised",69620
"Vanuserühmad kokku","Põlva maakond","2003","Mehed ja naised",31290
"Vanuserühmad kokku","Pärnu maakond","2003","Mehed ja naised",90880
"Vanuserühmad kokku","Rapla maakond","2003","Mehed ja naised",37880
"Vanuserühmad kokku","Saare maakond","2003","Mehed ja naised",34930
"Vanuserühmad kokku","Tartu maakond","2003","Mehed ja naised",158620
"Vanuserühmad kokku","..Tartu linn","2003","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2003","Mehed ja naised",34770
"Vanuserühmad kokku","Viljandi maakond","2003","Mehed ja naised",56980
"Vanuserühmad kokku","Võru maakond","2003","Mehed ja naised",38800
"Vanuserühmad kokku","Maakond teadmata","2003","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2004","Mehed ja naised",1366250
"Vanuserühmad kokku","Harju maakond","2004","Mehed ja naised",536830
"Vanuserühmad kokku","..Tallinn","2004","Mehed ja naised",398310
"Vanuserühmad kokku","Hiiu maakond","2004","Mehed ja naised",9600
"Vanuserühmad kokku","Ida-Viru maakond","2004","Mehed ja naised",172450
"Vanuserühmad kokku","Jõgeva maakond","2004","Mehed ja naised",36900
"Vanuserühmad kokku","Järva maakond*","2004","Mehed ja naised",36180
"Vanuserühmad kokku","Lääne maakond","2004","Mehed ja naised",27670
"Vanuserühmad kokku","Lääne-Viru maakond*","2004","Mehed ja naised",68620
"Vanuserühmad kokku","Põlva maakond","2004","Mehed ja naised",30950
"Vanuserühmad kokku","Pärnu maakond","2004","Mehed ja naised",90090
"Vanuserühmad kokku","Rapla maakond","2004","Mehed ja naised",37460
"Vanuserühmad kokku","Saare maakond","2004","Mehed ja naised",34340
"Vanuserühmad kokku","Tartu maakond","2004","Mehed ja naised",156600
"Vanuserühmad kokku","..Tartu linn","2004","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2004","Mehed ja naised",34330
"Vanuserühmad kokku","Viljandi maakond","2004","Mehed ja naised",55930
"Vanuserühmad kokku","Võru maakond","2004","Mehed ja naised",38300
"Vanuserühmad kokku","Maakond teadmata","2004","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2005","Mehed ja naised",1358850
"Vanuserühmad kokku","Harju maakond","2005","Mehed ja naised",540730
"Vanuserühmad kokku","..Tallinn","2005","Mehed ja naised",400500
"Vanuserühmad kokku","Hiiu maakond","2005","Mehed ja naised",9370
"Vanuserühmad kokku","Ida-Viru maakond","2005","Mehed ja naised",170090
"Vanuserühmad kokku","Jõgeva maakond","2005","Mehed ja naised",36130
"Vanuserühmad kokku","Järva maakond*","2005","Mehed ja naised",35440
"Vanuserühmad kokku","Lääne maakond","2005","Mehed ja naised",27230
"Vanuserühmad kokku","Lääne-Viru maakond*","2005","Mehed ja naised",67420
"Vanuserühmad kokku","Põlva maakond","2005","Mehed ja naised",30450
"Vanuserühmad kokku","Pärnu maakond","2005","Mehed ja naised",89320
"Vanuserühmad kokku","Rapla maakond","2005","Mehed ja naised",37020
"Vanuserühmad kokku","Saare maakond","2005","Mehed ja naised",33820
"Vanuserühmad kokku","Tartu maakond","2005","Mehed ja naised",155590
"Vanuserühmad kokku","..Tartu linn","2005","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2005","Mehed ja naised",33850
"Vanuserühmad kokku","Viljandi maakond","2005","Mehed ja naised",54880
"Vanuserühmad kokku","Võru maakond","2005","Mehed ja naised",37510
"Vanuserühmad kokku","Maakond teadmata","2005","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2006","Mehed ja naised",1350700
"Vanuserühmad kokku","Harju maakond","2006","Mehed ja naised",542030
"Vanuserühmad kokku","..Tallinn","2006","Mehed ja naised",398380
