"Aasta","Maakond","Näitaja","value"
"1998","Kogu Eesti","Liiklusõnnetused",1613
"1999","Kogu Eesti","Liiklusõnnetused",1472
"2000","Kogu Eesti","Liiklusõnnetused",1504
"2001","Kogu Eesti","Liiklusõnnetused",1888
"2002","Kogu Eesti","Liiklusõnnetused",2164
"2003","Kogu Eesti","Liiklusõnnetused",1931
"2004","Kogu Eesti","Liiklusõnnetused",2244
"2005","Kogu Eesti","Liiklusõnnetused",2341
"2006","Kogu Eesti","Liiklusõnnetused",2585
"2007","Kogu Eesti","Liiklusõnnetused",2450
"2008","Kogu Eesti","Liiklusõnnetused",1869
"2009","Kogu Eesti","Liiklusõnnetused",1505
"2010","Kogu Eesti","Liiklusõnnetused",1347
"2011","Kogu Eesti","Liiklusõnnetused",1492
"2012","Kogu Eesti","Liiklusõnnetused",1383
"2013","Kogu Eesti","Liiklusõnnetused",1385
"2014","Kogu Eesti","Liiklusõnnetused",1437
"2015","Kogu Eesti","Liiklusõnnetused",1392
"1998","Harju maakond","Liiklusõnnetused",519
"1999","Harju maakond","Liiklusõnnetused",527
"2000","Harju maakond","Liiklusõnnetused",536
"2001","Harju maakond","Liiklusõnnetused",645
"2002","Harju maakond","Liiklusõnnetused",806
"2003","Harju maakond","Liiklusõnnetused",776
"2004","Harju maakond","Liiklusõnnetused",939
"2005","Harju maakond","Liiklusõnnetused",919
"2006","Harju maakond","Liiklusõnnetused",978
"2007","Harju maakond","Liiklusõnnetused",870
"2008","Harju maakond","Liiklusõnnetused",698
"2009","Harju maakond","Liiklusõnnetused",540
"2010","Harju maakond","Liiklusõnnetused",507
"2011","Harju maakond","Liiklusõnnetused",607
"2012","Harju maakond","Liiklusõnnetused",609
"2013","Harju maakond","Liiklusõnnetused",562
"2014","Harju maakond","Liiklusõnnetused",621
"2015","Harju maakond","Liiklusõnnetused",677
"1998","..Tallinn","Liiklusõnnetused",364
"1999","..Tallinn","Liiklusõnnetused",418
"2000","..Tallinn","Liiklusõnnetused",409
"2001","..Tallinn","Liiklusõnnetused",482
"2002","..Tallinn","Liiklusõnnetused",617
"2003","..Tallinn","Liiklusõnnetused",590
"2004","..Tallinn","Liiklusõnnetused",667
"2005","..Tallinn","Liiklusõnnetused",653
"2006","..Tallinn","Liiklusõnnetused",654
"2007","..Tallinn","Liiklusõnnetused",578
"2008","..Tallinn","Liiklusõnnetused",483
"2009","..Tallinn","Liiklusõnnetused",363
"2010","..Tallinn","Liiklusõnnetused",371
"2011","..Tallinn","Liiklusõnnetused",444
"2012","..Tallinn","Liiklusõnnetused",440
"2013","..Tallinn","Liiklusõnnetused",410
