idnum,asutus.2014,struktuuriuksus.2014,allstruktuuriuksus.2014,ametikoht.2014,koormus.2014,põhipalk.2014,asutus.2015,struktuuriuksus.2015,allstruktuuriuksus.2015,ametikoht.2015,koormus.2015,põhipalk.2015
1,Andmekaitse Inspektsioon,Andmekaitse Inspektsioon,NA,peadirektor,1.0,3100,Andmekaitse Inspektsioon,NA,NA,peadirektor,1.0,3300
2,Andmekaitse Inspektsioon,Arendusdirektori valdkond,NA,arendusdirektor,1.0,2260,Andmekaitse Inspektsioon,Arendusdirektori valdkond,NA,arendusdirektor,1.0,2328
3,Andmekaitse Inspektsioon,Arendusdirektori valdkond,NA,arendusdirektor,1.0,2260,Valisministeerium,SISEAUDITIOSAKOND,NA,siseaudiitor,1.0,1723
4,Andmekaitse Inspektsioon,Jarelevalve valdkond,NA,jarelevalvedirektor,1.0,2260,Andmekaitse Inspektsioon,Jarelevalve valdkond,NA,jarelevalvedirektor,1.0,2328
5,Andmekaitse Inspektsioon,Andmekaitse Inspektsioon,NA,õigusnõunik,1.0,2260,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,peainspektor,1.0,2000
6,Andmekaitse Inspektsioon,Uldosakond,NA,IT-nõunik,1.0,2000,Andmekaitse Inspektsioon,Uldosakond,NA,IT-nõunik,1.0,2328
7,Andmekaitse Inspektsioon,Uldosakond,NA,nõunik,1.0,1350,NA,NA,NA,NA,NA,NA
8,Andmekaitse Inspektsioon,Uldosakond,NA,andmeturbeekspert,1.0,1200,NA,NA,NA,NA,NA,NA
9,Andmekaitse Inspektsioon,Uldosakond,NA,andmeturbeekspert,1.0,1406,Andmekaitse Inspektsioon,Uldosakond,NA,andmeturbeekspert,1.0,1500
10,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1200,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1236
11,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1100,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1133
12,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,peainspektor,1.0,1800,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,peainspektor,1.0,2000
13,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,juhtivinspektor,1.0,1600,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,juhtivinspektor,1.0,1700
14,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1350,NA,NA,NA,NA,NA,NA
15,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1350,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1391
16,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1350,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1391
17,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1253,NA,NA,NA,NA,NA,NA
18,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1253,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1391
19,Haridus- ja Teadusministeerium,NA,NA,minister,1.0,4420,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,NA,minister,1.0,4504
20,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,juhataja,1.0,2650
21,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,asejuhataja,1.0,1875,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,asejuhataja,1.0,1980
22,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1560,Põllumajandusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1500
23,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1625,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1725
24,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1515,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1610
25,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1405,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1530
26,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1425,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1550
27,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1405,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1520
28,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1357,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1480
29,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1357,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1480
30,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,0.8,1140,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,0.8,1240
31,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,kantsler,1.0,3978,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,kantsler,1.0,4054
