"","sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"1","Naine",38,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",644.475,"Mõningal määral",192.48,186.549,206.926
"2","Mees",19,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Mõningal määral",309.811,302.923,313.827
"3","Naine",41,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",420.748,"Mõningal määral",208.374,237.748,241.639
"4","Mees",56,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Põhi","Madal",NA,"Üldse mitte",226.276,187.155,NA
"5","Mees",52,"50+","Jah","Põhi","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Suurel määral",233.208,238.471,239.884
"6","Mees",49,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",486.539,"Suurel määral",296.05,284.342,267.725
"7","Mees",59,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",473.381,"Suurel määral",181.09,201.216,NA
"8","Mees",61,"50+","Jah","Põhi","Kõrg","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",295.745,"Üldse mitte",252.554,259.01,NA
"9","Mees",16,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Suurel määral",321.771,279.871,296.909
"10","Naine",32,"25-49","Ei","Kõrg","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",270.391,307.206,288.823
"11","Mees",56,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Väga vähe",248.272,264.309,218.185
"12","Mees",47,"25-49","Jah","Põhi","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",1144.45,"Mõningal määral",282.063,331.542,269.172
"13","Naine",53,"50+","Jah","Kesk","Kõrg","Ei","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",NA,"Suurel määral",255.453,227.157,221.788
"14","Naine",25,"25-49","Ei","Kõrg","Kõrg",NA,"Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",281.19,240.055,277.548
"15","Mees",42,"25-49","Jah","Põhi","Kesk","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",920,"Suurel määral",199.191,244.396,238.494
"16","Naine",37,"25-49","Jah","Kesk","Põhi","Jah","Töötu","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",282.839,292.526,282.646
"17","Mees",37,"25-49","Ei","Kõrg","Kesk","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",132.937,127.327,NA
"18","Mees",34,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Kesk-järgne kutse","Keskmine",1276.03,"Suurel määral",310.139,275.68,NA
"19","Naine",30,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1028.66,"Suurel määral",324.029,322.496,329.251
"20","Mees",60,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",1078.66,"Suurel määral",295.508,278.954,255.639
"21","Naine",59,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",329.789,319.985,NA
"22","Mees",61,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",1100,"Suurel määral",239.025,271.825,NA
"23","Mees",20,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Väga hea","Kesk","Keskmine",486.539,"Mõningal määral",248.314,290.93,258.764
"24","Naine",35,"25-49","Jah",NA,NA,"Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Mõningal määral",262.229,238.191,NA
"25","Mees",63,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",313.138,334.911,314.275
"26","Mees",17,"16-24","Ei",NA,"Kesk","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Mõningal määral",253.213,191.246,238.165
"27","Mees",41,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",789.179,"Mõningal määral",293.996,289.832,258.643
"28","Naine",36,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",1012.87,"Mõningal määral",280.98,279.855,246.687
"29","Mees",34,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",1670.78,"Suurel määral",238.292,284.126,292.463
"30","Naine",28,"25-49","Ei","Kõrg","Kõrg",NA,"Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1802.36,"Väga suurel määral",284.872,310.719,288.621
"31","Naine",51,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",381.273,"Suurel määral",262.637,258.845,NA
"32","Mees",25,"25-49","Ei","Kõrg",NA,"Jah","Hõivatud","Suurepärane","Põhi","Madal",NA,"Väga suurel määral",328.841,312.136,307.29
"33","Mees",31,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",552.33,"Suurel määral",317.548,335.978,327.6
"34","Mees",52,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",139.643,121.761,NA
"35","Mees",43,"25-49","Jah","Kõrg","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Üldse mitte",238.266,253.261,NA
"36","Naine",49,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",447.064,"Suurel määral",228.815,283.838,268.781
"37","Mees",52,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",305.928,337.057,296.077
"38","Mees",50,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Suurel määral",334.885,297.382,280.327
"39","Naine",41,"25-49","Jah","Põhi","Põhi","Ei","Töötu","Hea","Põhi","Madal",NA,"Mõningal määral",177.698,153.232,201.568
"40","Mees",55,"50+","Ei","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",947.078,"Mõningal määral",300.416,324.466,289.293
"41","Mees",64,"50+","Jah","Põhi",NA,"Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",266.489,255.016,NA
"42","Mees",20,"16-24","Ei","Kesk","Kõrg","Ei","Töötu","Väga hea","Kesk","Keskmine",NA,"Suurel määral",234.327,221.347,252.787
"43","Mees",26,"25-49","Ei","Kõrg","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",618.121,"Suurel määral",222.495,221.666,231.324
"44","Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",2764.67,"Mõningal määral",311.099,330.26,285.923
"45","Naine",57,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",697.071,"Väga vähe",173.592,215.307,219.597
