"","sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"1","Naine",38,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Vaga hea","Kesk","Keskmine",644.4749,"Moningal maaral",192.4801,186.5487,206.9257
"2","Mees",19,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Vaga hea","Pohi","Madal",NA,"Moningal maaral",309.8111,302.9233,313.8267
"3","Naine",41,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Pohi","Madal",420.7479,"Moningal maaral",208.3741,237.7483,241.6392
"4","Mees",56,"50+","Jah","Pohi","Pohi","Jah","Mitteaktiivne","Halb","Pohi","Madal",NA,"Uldse mitte",226.2762,187.1554,NA
"5","Mees",52,"50+","Jah","Pohi","Korg","Jah","Hoivatud","Hea","Kesk","Keskmine",NA,"Suurel maaral",233.2084,238.4709,239.8837
"6","Mees",49,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",486.5391,"Suurel maaral",296.0503,284.3417,267.7249
"7","Mees",59,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Kesk","Keskmine",473.3809,"Suurel maaral",181.09,201.2165,NA
"8","Mees",61,"50+","Jah","Pohi","Korg","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",295.7446,"Uldse mitte",252.5544,259.0101,NA
"9","Mees",16,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Vaga hea","Pohi","Madal",NA,"Suurel maaral",321.7714,279.8708,296.9085
"10","Naine",32,"25-49","Ei","Korg","Kesk","Jah","Hoivatud","Hea","Akadeemiline korg","Korge",NA,"Suurel maaral",270.3908,307.2064,288.8229
"11","Mees",56,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",NA,"Vaga vahe",248.2715,264.3091,218.1845
"12","Mees",47,"25-49","Jah","Pohi","Korg","Jah","Hoivatud","Hea","Kesk","Keskmine",1144.451,"Moningal maaral",282.0635,331.5422,269.1722
"13","Naine",53,"50+","Jah","Kesk","Korg","Ei","Hoivatud","Suureparane","Rakenduskorg","Korge",NA,"Suurel maaral",255.453,227.1567,221.7882
"14","Naine",25,"25-49","Ei","Korg","Korg",NA,"Hoivatud","Vaga hea","Akadeemiline korg","Korge",NA,"Suurel maaral",281.1902,240.0548,277.5484
"15","Mees",42,"25-49","Jah","Pohi","Kesk","Ei","Hoivatud","Suureparane","Kesk","Keskmine",920,"Suurel maaral",199.1907,244.3959,238.4939
"16","Naine",37,"25-49","Jah","Kesk","Pohi","Jah","Tootu","Hea","Rakenduskorg","Korge",NA,"Suurel maaral",282.8386,292.5257,282.6458
"17","Mees",37,"25-49","Ei","Korg","Kesk","Ei","Hoivatud","Rahuldav","Kesk","Keskmine",NA,"Suurel maaral",132.9373,127.3271,NA
"18","Mees",34,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Vaga hea","Kesk-jargne kutse","Keskmine",1276.034,"Suurel maaral",310.1386,275.6799,NA
"19","Naine",30,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Vaga hea","Akadeemiline korg","Korge",1028.659,"Suurel maaral",324.0292,322.4958,329.2513
"20","Mees",60,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",1078.66,"Suurel maaral",295.5084,278.9543,255.6391
"21","Naine",59,"50+","Jah","Pohi","Pohi","Ei","Hoivatud","Rahuldav","Rakenduskorg","Korge",NA,"Moningal maaral",329.7889,319.9849,NA
"22","Mees",61,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Pohi","Madal",1100,"Suurel maaral",239.0255,271.8251,NA
"23","Mees",20,"16-24","Ei","Kesk","Kesk","Ei","Hoivatud","Vaga hea","Kesk","Keskmine",486.5391,"Moningal maaral",248.3142,290.93,258.7635
"24","Naine",35,"25-49","Jah",NA,NA,"Jah","Hoivatud","Rahuldav","Pohi","Madal",NA,"Moningal maaral",262.2292,238.1907,NA
"25","Mees",63,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Hea","Rakenduskorg","Korge",NA,"Suurel maaral",313.1383,334.9108,314.2748
"26","Mees",17,"16-24","Ei",NA,"Kesk","Ei","Mitteaktiivne","Hea","Pohi","Madal",NA,"Moningal maaral",253.213,191.2463,238.1648
"27","Mees",41,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Hea","Kesk","Keskmine",789.1786,"Moningal maaral",293.9958,289.8324,258.6433
"28","Naine",36,"25-49","Jah","Kesk","Pohi","Jah","Hoivatud","Suureparane","Kesk","Keskmine",1012.869,"Moningal maaral",280.9797,279.8548,246.6866
"29","Mees",34,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Hea","Rakenduskorg","Korge",1670.781,"Suurel maaral",238.292,284.1256,292.463
"30","Naine",28,"25-49","Ei","Korg","Korg",NA,"Hoivatud","Hea","Akadeemiline korg","Korge",1802.363,"Vaga suurel maaral",284.8724,310.7185,288.6206
"31","Naine",51,"50+","Jah","Pohi","Pohi","Ei","Hoivatud","Hea","Akadeemiline korg","Korge",381.2732,"Suurel maaral",262.6369,258.8452,NA
"32","Mees",25,"25-49","Ei","Korg",NA,"Jah","Hoivatud","Suureparane","Pohi","Madal",NA,"Vaga suurel maaral",328.8408,312.1364,307.29
"33","Mees",31,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Hea","Akadeemiline korg","Korge",552.3303,"Suurel maaral",317.5484,335.978,327.5996
"34","Mees",52,"50+","Jah","Pohi","Pohi",NA,"Mitteaktiivne","Rahuldav","Pohi","Madal",NA,"Moningal maaral",139.6425,121.7606,NA
"35","Mees",43,"25-49","Jah","Korg","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Uldse mitte",238.2655,253.2609,NA
"36","Naine",49,"25-49","Jah","Kesk","Korg","Jah","Hoivatud","Hea","Kesk-jargne kutse","Keskmine",447.0644,"Suurel maaral",228.8153,283.838,268.7807
"37","Mees",52,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Akadeemiline korg","Korge",NA,"Vaga suurel maaral",305.9283,337.0569,296.0767
"38","Mees",50,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Vaga hea","Kesk","Keskmine",NA,"Suurel maaral",334.8849,297.3818,280.3271
"39","Naine",41,"25-49","Jah","Pohi","Pohi","Ei","Tootu","Hea","Pohi","Madal",NA,"Moningal maaral",177.6983,153.2322,201.5679
"40","Mees",55,"50+","Ei","Kesk","Kesk","Jah","Hoivatud","Rahuldav","Akadeemiline korg","Korge",947.0776,"Moningal maaral",300.4165,324.4663,289.2928
"41","Mees",64,"50+","Jah","Pohi",NA,"Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Moningal maaral",266.4889,255.016,NA
"42","Mees",20,"16-24","Ei","Kesk","Korg","Ei","Tootu","Vaga hea","Kesk","Keskmine",NA,"Suurel maaral",234.3266,221.3466,252.7874
"43","Mees",26,"25-49","Ei","Korg","Kesk","Ei","Hoivatud","Hea","Kesk","Keskmine",618.1215,"Suurel maaral",222.4948,221.6663,231.3236
